sanzen gohyaku gojuu kyuu, yonsen nanahyaku shichijuu go
sanzen roppyaku shichijuu yon, sanzen hyaku yonjuu roku
sanzen sanbyaku juuhachi, sanzen sanbyaku sanjuu roku
sen sanbyaku yonjuu hachi, sen nihyaku kyuujuu san
yonsen gohyaku yonjuu roku, sen hyaku kyuujuu shichi
sanzen yonhyaku juuroku, gojuu hachi
sanzen roppyaku ni, sen nihyaku gojuu go
yonsen shichijuu san, sanzen nanahyaku rokujuu shichi
yonsen shichijuu, nihyaku rokujuu hitotsu
sen nihyaku sanjuu kyuu, hyakuhachi juugo
hyaku rokujuu go, sen happyaku yonjuu yon
kyuuhyaku gojuu ni, sanzen happyaku kyuujuu roku
sen happyaku yonjuu hachi, sen yonhyaku shichijuu go
yonsen sanbyaku sanjuu yon, yonsen nanahyaku sanjuu shichi
sanzen nanahyaku yonjuu roku, sanzen hatachi san
kyuuhyaku gojuu go, nihyaku juushi
gohyaku shichijuu shichi, hyakuhachi juuhachi
ni sen nihyaku rokujuu, kyuujuu go
sanzen roppyaku rokujuu, sen nihyaku rokujuu san
happyaku juukyuu, sen sanbyaku hatachi ni
sen nihyaku shichijuu san, kyuuhyaku gojuu kyuu
yonsen hyakuhachi juushi, happyaku san
sanzen nihyaku juuichi, sanzen hyaku rokujuu hitotsu
gohyaku gojuu shichi, sen gohyaku kyuu
ni sen gohyaku juugo, ni sen gohyaku hachijuu go
sanbyaku sanjuu roku, yonsen nanahyaku sanjuu yon
sanzen yonhyaku rokujuu roku, sen hyaku sanjuu shichi
ni sen kyuuhyaku hachijuu san, yonsen nihyaku shichijuu hachi
ni sen nihyaku gojuu shichi, ni sen juushi
nanahyaku hachijuu, yonsen happyaku gojuu shichi
yonhyaku hatachi san, gohyaku gojuu kyuu
ni sen happyaku hatachi san, yonsen kyuuhyaku kyuujuu yon
ni sen sanbyaku sanjuu kyuu, sen yonhyaku sanjuu yon
sanzen gohyaku kyuujuu kyuu, nanahyaku juuichi
sen kyuuhyaku sanjuu go, yonsen roppyaku gojuu go
sanzen sanbyaku hitotsu, sanzen kyuuhyaku shichijuu hachi
sanzen happyaku shichijuu roku, roppyaku shichijuu hachi
yonsen shichi, yonsen roppyaku yonjuu hitotsu
sanzen sanbyaku yonjuu kyuu, nihyaku juuhachi
kyuuhyaku sanjuu, sen yonhyaku shichijuu kyuu
yonhyaku yonjuu yon, sen nihyaku hachijuu roku
sanzen roppyaku kyuujuu san, yonsen sanjuu
yonsen roppyaku shichijuu shichi, sen hyaku gojuu roku
yonsen nihyaku hachijuu, sen happyaku rokujuu ni
ni sen gojuu roku, sanzen happyaku juugo
yonsen happyaku hatachi hitotsu, kyuuhyaku yon
sen hatachi hachi, sanzen yonhyaku gojuu hitotsu
yonhyaku shichijuu go, yonsen gohyaku shichijuu go
sanzen yonhyaku yonjuu shichi, ni sen roppyaku juugo
yonsen sanbyaku shichijuu san, sen hyaku rokujuu shichi
kyuuhyaku rokujuu hitotsu, ni sen kyuuhyaku hatachi hachi
roppyaku hachijuu san, sanzen sanbyaku hatachi go
yonsen roppyaku rokujuu shichi, ni sen yonhyaku shichijuu ni
sanzen yonhyaku hachijuu yon, ni sen sanbyaku ni
nihyaku hatachi san, sen happyaku shichijuu
sen yonhyaku san, yonsen yonhyaku gojuu kyuu
yonsen nihyaku rokujuu hachi, ni sen nanahyaku kyuujuu hitotsu
sanzen roppyaku juushichi, yonsen happyaku yonjuu yon
juuichi, yonsen happyaku kyuujuu
kyuuhyaku hatachi kyuu, yonsen sanbyaku kyuujuu
hyaku go, yonsen kyuujuu hachi
sanzen roppyaku yonjuu yon, sanzen yonhyaku rokujuu hitotsu
nanahyaku sanjuu roku, ni sen roppyaku kyuujuu shichi
sanzen shichijuu, yonsen gohyaku hachijuu ni
ni sen nanahyaku gojuu go, sen nanahyaku kyuujuu
sanzen sanbyaku roku, yonsen kyuuhyaku hachijuu ni
kyuuhyaku hitotsu, sanzen yonhyaku kyuujuu go
juuichi, go
sanzen hyaku hatachi yon, nihyaku gojuu roku
sanzen sanbyaku shichijuu yon, roppyaku shichijuu roku
hyaku juushichi, hyakuhachi juugo
sanzen kyuuhyaku ni, kyuuhyaku sanjuu shichi
kyuuhyaku kyuujuu yon, yonsen nihyaku hatachi roku
yonsen nanahyaku kyuujuu, sanzen kyuuhyaku kyuujuu yon
sanzen gojuu go, sanzen hyaku kyuujuu ni
sen gohyaku juugo, yonsen happyaku rokujuu
hyaku roku, sen roppyaku hatachi yon
ni sen roppyaku yonjuu hitotsu, sen hyaku sanjuu roku
ni sen kyuuhyaku kyuu, yonsen hyaku yonjuu hitotsu
ni sen nihyaku juushi, yonhyaku juushichi
sen happyaku juuni, sen gohyaku shichijuu san
sen happyaku hachi, sen yonhyaku juuichi
sanbyaku rokujuu, sen roppyaku sanjuu hitotsu
ni sen roppyaku yon, ni sen kyuuhyaku hatachi kyuu
sanbyaku hachijuu roku, ni sen kyuuhyaku hatachi go
sanzen shichijuu hachi, gohyaku hachijuu san
yonsen happyaku kyuujuu yon, sen yonhyaku gojuu kyuu
ni sen hyaku sanjuu, nihyaku go
yonsen gohyaku kyuujuu ni, sanzen gohyaku rokujuu
yonsen nanahyaku hachijuu shichi, ni sen sanbyaku kyuujuu shichi
yonsen roppyaku hachi, sen happyaku hachijuu go
yonhyaku yonjuu shichi, ni sen kyuuhyaku kyuujuu ni
roppyaku shichijuu kyuu, ni sen yonhyaku juushichi
ni sen yonhyaku gojuu, sanzen rokujuu hitotsu
sen yonhyaku kyuujuu hachi, yonsen nihyaku rokujuu kyuu
ni sen nihyaku roku, yonsen roppyaku hachi
ni sen nihyaku kyuujuu roku, roppyaku hatachi roku
sanzen hyaku ni, ni sen roppyaku kyuujuu ni
ni sen nihyaku, ni sen kyuuhyaku juuroku
nihyaku go, ni sen kyuuhyaku yonjuu roku
hyaku hatachi go, sen hyaku roku
ni sen gohyaku gojuu kyuu, yonhyaku hachijuu hitotsu
gohyaku hachijuu kyuu, yonsen happyaku
ni sen rokujuu hitotsu, ni sen hyaku yonjuu kyuu
sanzen hyaku rokujuu go, sen roppyaku juugo
ni sen hyaku hatachi ni, ni sen happyaku shichijuu yon
sen happyaku kyuujuu hitotsu, yonsen gohyaku kyuujuu roku
ni sen happyaku rokujuu go, sanzen hyaku juushichi
sanzen roppyaku hachijuu go, sanzen sanbyaku juusan
yonsen sanbyaku, yonsen roppyaku go
ni sen nihyaku hachijuu yon, sanzen nanahyaku juuichi
ni sen gohyaku sanjuu san, gohyaku juuichi
sanzen sanbyaku kyuujuu hachi, sanzen happyaku hachijuu san
yonsen gohyaku hachijuu shichi, sanzen nihyaku rokujuu shichi
roppyaku kyuujuu hachi, sen hyaku shichijuu shichi
ni sen nihyaku juuroku, yonsen hyaku juuroku
sanbyaku shichijuu kyuu, ni sen sanbyaku sanjuu hachi
nihyaku hatachi san, nihyaku sanjuu kyuu
ni sen kyuuhyaku hatachi go, yonhyaku roku
kyuuhyaku yonjuu hachi, sanzen kyuuhyaku yon
yonsen roppyaku rokujuu hitotsu, happyaku yonjuu
sanzen roppyaku hachi, sanzen nanahyaku kyuujuu go
sanbyaku rokujuu hitotsu, yonsen roppyaku ni
sen happyaku rokujuu yon, sen hatachi hachi
yonsen kyuuhyaku juusan, sanzen sanbyaku kyuujuu roku
sen sanbyaku juushi, sen gohyaku rokujuu ni
yonsen gohyaku kyuujuu shichi, sanzen kyuuhyaku hachijuu hachi
sanzen gohyaku hachijuu hachi, yonsen yonhyaku rokujuu yon
roppyaku shichi, yonsen yonhyaku hachijuu
yonsen roppyaku kyuujuu hitotsu, sanzen happyaku rokujuu hachi
sen nihyaku rokujuu roku, hyaku kyuujuu go
sanzen nanahyaku shichijuu hachi, sen hyaku gojuu hitotsu
sen hyaku shichijuu shichi, ni sen yonhyaku shichijuu hachi
sanzen happyaku hatachi ni, hyaku juusan
sanzen kyuujuu roku, sen rokujuu kyuu
yonsen kyuuhyaku hachijuu kyuu, sanzen roppyaku rokujuu go
sen sanbyaku rokujuu yon, kyuuhyaku gojuu san
ni sen kyuuhyaku hachi, happyaku hatachi hitotsu
ni sen yonhyaku gojuu kyuu, sanzen hyaku kyuujuu san
sanzen nihyaku ni, sanbyaku gojuu kyuu
ni sen happyaku sanjuu san, nihyaku kyuujuu san
yonsen hyaku, sanzen nanahyaku rokujuu ni
gohyaku shichijuu san, sanbyaku rokujuu
yonsen happyaku ni, ni sen roppyaku juusan
sen hyaku kyuujuu shichi, sanzen happyaku kyuujuu kyuu
yonsen happyaku hachijuu hachi, hyaku sanjuu hitotsu
ni sen nanahyaku hachijuu kyuu, happyaku sanjuu yon
yonhyaku rokujuu kyuu, sen nanahyaku gojuu kyuu
ni sen kyuujuu hachi, sanzen gojuu hitotsu
sanzen hyaku yonjuu kyuu, sen roppyaku hatachi yon
sanzen nihyaku hachijuu roku, ni sen juuichi
sanzen nanahyaku juuni, shichijuu ni
yonsen kyuuhyaku kyuujuu kyuu, sen hyaku juuni
sanzen roppyaku yon, ni sen roppyaku yonjuu hitotsu
ni sen hyaku shichijuu kyuu, yonsen gohyaku juugo
sanzen kyuuhyaku yonjuu ni, yonsen juuhachi
ni sen sanjuu ni, nihyaku kyuujuu
sen roppyaku sanjuu yon, happyaku juuichi
happyaku hachijuu hachi, yonjuu roku
sanzen yonhyaku shichijuu ni, sanzen hachijuu hitotsu
ni sen roppyaku yonjuu hachi, yonsen happyaku sanjuu kyuu
yonsen nanahyaku rokujuu hitotsu, sanzen yonhyaku rokujuu
yonsen happyaku yonjuu go, sanzen nihyaku sanjuu ni
ni sen sanbyaku kyuujuu hachi, happyaku hitotsu
yonsen roppyaku shichijuu hachi, sanzen happyaku san
yonsen nanahyaku hatachi shichi, ni sen sanbyaku yonjuu san
sanzen nanahyaku yonjuu hachi, ni sen juushichi
yonsen sanbyaku hitotsu, sanzen hyaku rokujuu hachi
ni sen nihyaku shichijuu san, sen nihyaku kyuujuu hitotsu
sanzen sanbyaku hatachi kyuu, sen sanbyaku hatachi roku
sen gohyaku hatachi shichi, yonsen yonhyaku shichijuu
sen happyaku hatachi roku, yonsen hatachi ni
sanzen roppyaku shichijuu yon, sen kyuuhyaku hachi
sen, yonhyaku rokujuu hitotsu
sen happyaku rokujuu go, yonsen roppyaku ni
yonsen hyaku hitotsu, sanzen nihyaku hachijuu san
ni sen hyaku juushichi, sen hyaku kyuujuu shichi
sen kyuuhyaku hachijuu san, sen nanahyaku rokujuu hitotsu
sanzen roppyaku hachijuu hachi, hyaku shichijuu kyuu
sen sanjuu yon, sanzen yonhyaku yonjuu hachi
sen kyuuhyaku shichijuu, sanzen hyaku yonjuu kyuu
kyuuhyaku shichijuu yon, yonsen yonjuu ni
sanzen sanbyaku hachijuu san, sen nihyaku juu
sen roppyaku rokujuu hachi, nanahyaku yonjuu go
ni sen sanbyaku hatachi kyuu, yonsen roppyaku yonjuu san
sanzen nanahyaku juusan, sanzen yonhyaku ni
sanzen kyuuhyaku gojuu ni, yonsen hyaku gojuu kyuu
sanzen hyaku hatachi yon, nanahyaku rokujuu kyuu
sanzen nihyaku kyuujuu, sanzen yonhyaku go
kyuuhyaku hachijuu shichi, sen yonhyaku rokujuu san
sanzen nanahyaku juushi, yonsen sanbyaku shichijuu ni
sanzen happyaku hatachi, ni sen yonhyaku sanjuu yon
sanzen happyaku shichijuu hachi, ni sen yonhyaku gojuu ni
sen rokujuu ni, sen sanbyaku rokujuu yon
yonsen happyaku kyuujuu roku, ni sen shichijuu san
yonsen nihyaku rokujuu hachi, kyuuhyaku juushi
sanzen roppyaku hachijuu shichi, sanzen yonhyaku yonjuu hitotsu
sen kyuuhyaku hatachi hachi, gohyaku yonjuu roku
sen gohyaku shichijuu go, ni sen nanahyaku gojuu hachi
ni sen gohyaku yonjuu go, ni sen hyaku gojuu ni
sen yonjuu go, sanzen kyuuhyaku go
sanzen roppyaku rokujuu yon, sen roppyaku hachijuu kyuu
sanbyaku rokujuu roku, yonsen happyaku yonjuu shichi
sen sanbyaku juuhachi, yonsen kyuuhyaku juuni
yonsen roppyaku juuhachi, sanzen shichijuu go
sanzen hyaku shichijuu ni, nanahyaku yonjuu san
ni sen happyaku san, yonsen happyaku hachijuu yon
happyaku yonjuu go, sanzen hyaku gojuu shichi
yonhyaku rokujuu ni, yonsen nihyaku yonjuu shichi
sanzen kyuuhyaku hatachi hitotsu, ni sen gohyaku hatachi go
yonsen gohyaku kyuujuu go, ni sen yonhyaku shichijuu shichi
yonsen kyuu, sanzen yonhyaku yonjuu shichi
sen nanahyaku go, sen nanahyaku yonjuu ni
sanzen happyaku shichijuu yon, sen gohyaku hachijuu kyuu
sen nanahyaku shichijuu san, ni sen nanahyaku shichijuu go
sen yonhyaku yonjuu yon, sen rokujuu roku
hyaku hatachi, sen gohyaku yonjuu go
sen nanahyaku san, ni sen nihyaku san
ni sen sanbyaku hitotsu, sanbyaku san
yonsen nihyaku hatachi, yonsen happyaku gojuu hitotsu
yonsen sanbyaku hachijuu roku, ni sen kyuuhyaku juuroku
sanzen gohyaku juushi, ni sen hyakuhachi juuni
yonsen happyaku rokujuu hitotsu, nihyaku hatachi roku
ni sen nihyaku juu, sen yonhyaku hatachi hachi
sanzen gojuu shichi, ni sen hyaku yonjuu san
sanzen happyaku yon, sanzen hyaku hatachi ni
sen gohyaku yonjuu san, yonsen nanahyaku kyuujuu roku
yonsen sanbyaku juuroku, sanzen juushi
ni sen roppyaku hachijuu hachi, yonsen roppyaku gojuu kyuu
yonsen nihyaku hachijuu, sen sanbyaku hitotsu
sanzen kyuujuu hachi, yonsen gojuu roku
nihyaku juuichi, yonsen gohyaku sanjuu go
yonsen yonhyaku hatachi hitotsu, ni sen happyaku gojuu hitotsu
shichijuu yon, nanahyaku hitotsu
ni sen nihyaku kyuujuu shichi, sanzen nihyaku sanjuu shichi
ni sen kyuuhyaku sanjuu kyuu, kyuuhyaku go
nihyaku kyuujuu shichi, hachijuu hachi
sanbyaku ni, sanzen kyuuhyaku sanjuu roku
ni sen sanbyaku hatachi hitotsu, gohyaku rokujuu ni
sen nanahyaku hachi, shichijuu ni
sanzen nanahyaku hatachi kyuu, kyuuhyaku hatachi hachi
hachijuu shichi, yonsen yonhyaku gojuu yon
yonsen roppyaku gojuu hitotsu, ni sen happyaku hatachi hitotsu
sen nanahyaku yonjuu kyuu, sanzen sanjuu go
sen yonhyaku hachijuu ni, ni sen gohyaku rokujuu ni
sanzen kyuuhyaku san, yonsen roppyaku shichi
rokujuu hachi, sanzen happyaku kyuujuu
sen nanahyaku kyuujuu kyuu, sanzen yonhyaku gojuu hitotsu
sanzen happyaku rokujuu ni, sanzen roppyaku juushi
yonsen nanahyaku hachijuu san, yonsen hyakuhachi juushi
ni sen yonhyaku yonjuu hachi, happyaku
roppyaku hachijuu hachi, sen hyakuhachi juushichi
sanzen gohyaku juugo, sanzen yonhyaku gojuu san
sanzen nanahyaku shichijuu hitotsu, ni sen gohyaku hachijuu go
yonhyaku shichijuu hachi, yonsen gohyaku gojuu yon
gohyaku yonjuu hitotsu, sen kyuuhyaku
sen hyaku rokujuu san, sanzen nihyaku hatachi roku
sen hyaku juuni, sen nihyaku shichijuu go
sen roppyaku sanjuu, sen nanahyaku rokujuu
sen shichijuu ni, sen roppyaku rokujuu ni
ni sen nihyaku rokujuu ni, yonsen roppyaku shichijuu ni
yonsen happyaku hatachi ni, sanzen hyaku sanjuu yon
ni sen sanbyaku hachijuu roku, sen gohyaku hachijuu
nanahyaku yonjuu yon, nihyaku yonjuu yon
sen shichijuu go, nihyaku yonjuu roku
sanbyaku kyuujuu yon, sanzen yonjuu kyuu
sen yonhyaku gojuu, yonsen nihyaku rokujuu kyuu
sen hyaku gojuu go, ni sen gohyaku yonjuu hachi
sanbyaku shichijuu hitotsu, roppyaku juushichi
yonsen nanahyaku hitotsu, ni sen gohyaku shichijuu roku
sanzen nihyaku rokujuu hachi, yonhyaku sanjuu ni
yonsen gohyaku yonjuu, sanzen kyuuhyaku sanjuu shichi
sen nanahyaku ni, yonsen gohyaku kyuujuu shichi
yonsen sanbyaku hachi, ni sen yonhyaku hatachi
ni sen roppyaku shichijuu hachi, ni sen kyuujuu shichi
yonsen hyaku kyuujuu yon, ni sen roppyaku shichijuu shichi
ni sen nihyaku hachijuu kyuu, hyaku gojuu yon
sen shichijuu kyuu, sen kyuuhyaku juugo
sanzen hyaku hatachi ni, sen nanahyaku gojuu yon
sen kyuujuu yon, ni sen sanbyaku yonjuu roku
kyuuhyaku sanjuu san, happyaku juusan
sanzen nihyaku yonjuu shichi, yonsen hyaku juu
yonsen nihyaku kyuujuu roku, sanbyaku gojuu kyuu
sen happyaku kyuu, sen happyaku kyuujuu hitotsu
sen nihyaku yonjuu go, yonsen gohyaku shichijuu hitotsu
yonsen roppyaku gojuu roku, sanzen nanahyaku rokujuu ni
roppyaku gojuu ni, ni sen hachijuu ni
ni sen hyaku yonjuu san, sen sanbyaku kyuujuu go
sen yonhyaku sanjuu san, sanzen yonhyaku sanjuu ni
yonsen roppyaku yonjuu kyuu, sanzen sanbyaku yonjuu
roppyaku juukyuu, yonsen roppyaku yonjuu roku
sen happyaku hachijuu san, ni sen happyaku juu
sanzen kyuuhyaku sanjuu hachi, sanzen hyaku sanjuu ni
sanzen hyaku yonjuu san, sanzen juushi
ni sen hyaku hatachi yon, ni sen happyaku hatachi roku
happyaku rokujuu hachi, sanzen juuni
sen roppyaku hachijuu, kyuuhyaku kyuujuu yon
ni sen sanbyaku roku, yonsen nanahyaku go
sanzen shichi, ni sen gohyaku sanjuu kyuu
yonsen happyaku rokujuu, yonhyaku shichijuu
sen nihyaku kyuujuu shichi, sen gohyaku sanjuu yon
yonsen yonhyaku kyuujuu go, sanzen nihyaku juu
gohyaku gojuu ni, hyaku gojuu hachi
sen nihyaku gojuu roku, yonsen sanbyaku yonjuu kyuu
sen nihyaku sanjuu kyuu, sanzen happyaku rokujuu hitotsu
yonsen happyaku kyuujuu hitotsu, ni sen kyuuhyaku
sen roppyaku gojuu, happyaku
yonsen yonhyaku hatachi shichi, sanzen nanahyaku hachijuu kyuu
sen sanbyaku hachijuu shichi, sen yonhyaku rokujuu hitotsu
ni sen nanahyaku gojuu kyuu, roppyaku
sen nihyaku shichijuu roku, yonsen sanbyaku yonjuu ni
yonsen happyaku kyuu, ni sen sanbyaku juuichi
yonsen roppyaku rokujuu roku, kyuuhyaku rokujuu hachi
sanzen sanbyaku hachijuu, sanzen kyuuhyaku rokujuu kyuu
sanzen gohyaku kyuu, sanzen hyaku rokujuu
happyaku yonjuu yon, sen happyaku rokujuu go
sen nanahyaku gojuu go, nanahyaku gojuu yon
ni sen sanbyaku hatachi hitotsu, yonsen nihyaku juushi
nihyaku sanjuu san, yonsen roppyaku sanjuu hachi
nihyaku shichijuu, sen nanahyaku gojuu hitotsu
sanbyaku gojuu yon, kyuuhyaku yonjuu hitotsu
sanzen nihyaku shichijuu, sanzen gohyaku shichi
yonsen gohyaku kyuujuu hitotsu, sanzen roppyaku juusan
sanzen hyaku, sen roppyaku juuni
gohyaku sanjuu yon, sanzen nihyaku hitotsu
yonsen happyaku kyuujuu san, sen yonjuu yon
kyuuhyaku yonjuu ni, gohyaku shichijuu hachi
sanzen yonhyaku hachijuu hitotsu, sanzen kyuuhyaku shichijuu yon
ni sen yonhyaku rokujuu yon, sen sanbyaku juushi
sanbyaku sanjuu hitotsu, sanzen yonhyaku kyuujuu kyuu
sanbyaku kyuujuu, ni sen kyuuhyaku hachijuu shichi
sanzen gohyaku gojuu, sen yonhyaku juusan
yonsen happyaku juushi, sanzen roppyaku yonjuu roku
sanzen kyuuhyaku san, sen roppyaku juu
sen sanbyaku sanjuu roku, ni sen hyaku shichijuu hitotsu
sanzen happyaku gojuu ni, sanzen nanahyaku kyuujuu yon
kyuuhyaku yonjuu ni, yonsen nihyaku hachi
yonsen sanbyaku juu, yonsen sanbyaku kyuujuu shichi
sen sanbyaku hachijuu roku, sen yonjuu kyuu
sen gohyaku gojuu san, gohyaku kyuujuu hitotsu
sen gohyaku hitotsu, yonsen sanbyaku shichi
sen sanjuu hachi, sen sanbyaku hatachi yon
yonhyaku roku, sen happyaku sanjuu kyuu
nanahyaku shichijuu roku, roppyaku kyuu
ni sen yonhyaku kyuujuu go, sanzen gohyaku hatachi shichi
sen nanahyaku sanjuu hachi, sen roppyaku hachijuu go
gojuu ni, sanzen roppyaku sanjuu hitotsu
sanzen happyaku yonjuu hachi, nanahyaku kyuu
sen kyuuhyaku gojuu yon, sen nihyaku gojuu hitotsu
yonhyaku shichijuu shichi, yonsen nanahyaku hatachi go
yonsen kyuuhyaku hatachi yon, sanbyaku kyuujuu go
ni sen nanahyaku yonjuu shichi, sen happyaku gojuu go
yonsen nanahyaku yonjuu go, sanzen nihyaku shichijuu hachi
nanahyaku hachijuu, sen hyaku shichijuu san
sanzen happyaku gojuu, sanzen hyaku rokujuu san
sen kyuuhyaku gojuu yon, yonsen hyaku sanjuu go
nihyaku gojuu hachi, kyuuhyaku sanjuu hachi
sanzen hyaku rokujuu ni, ni sen kyuuhyaku roku
yonsen happyaku shichijuu go, sen nanahyaku sanjuu
yonsen gohyaku hatachi go, yonsen nihyaku gojuu go
sanzen yonjuu go, sen roppyaku shichijuu hitotsu
nihyaku shichijuu hitotsu, sen hyaku kyuujuu hitotsu
sanzen roppyaku yonjuu san, ni sen gohyaku sanjuu roku
sanbyaku rokujuu roku, sanzen happyaku kyuujuu san
sen gohyaku rokujuu yon, yonsen gohyaku shichijuu ni
sanzen hyaku rokujuu yon, sanzen nanahyaku gojuu
hyaku hatachi go, sen rokujuu go
sanzen gohyaku hatachi shichi, yonsen nihyaku hachijuu kyuu
yonsen nihyaku kyuujuu go, yonsen nanahyaku rokujuu san
sanzen hyaku rokujuu hitotsu, ni sen happyaku hatachi yon
sen sanbyaku yonjuu hitotsu, yonsen gojuu roku
sen gohyaku hachijuu yon, yonsen nihyaku kyuujuu san
yonsen happyaku kyuujuu yon, yonsen happyaku juusan
sen gojuu go, yonsen nihyaku juu
sanzen happyaku gojuu kyuu, yonsen hyaku gojuu roku
shichijuu hitotsu, yonsen kyuuhyaku kyuujuu shichi
sen nihyaku hachijuu go, sen yonhyaku shichijuu san
yonsen roppyaku juuni, kyuuhyaku kyuujuu hitotsu
yonhyaku yonjuu kyuu, yonsen yonhyaku juukyuu
sen kyuuhyaku kyuujuu yon, sen roppyaku sanjuu ni
yonsen hyaku juu, yonhyaku rokujuu go
ni sen sanjuu yon, sen yonhyaku sanjuu shichi
yonhyaku hatachi san, ni sen yonhyaku hitotsu
yonsen nihyaku, sen sanbyaku juuroku
sen gohyaku yonjuu hitotsu, sen roppyaku kyuujuu roku
nanahyaku juugo, yonhyaku hachijuu
yonsen gohyaku hatachi hitotsu, yonsen yonhyaku sanjuu yon
nanahyaku kyuujuu shichi, sen nihyaku hatachi roku
sen happyaku hachijuu go, yonsen nihyaku rokujuu
nihyaku hachijuu yon, nihyaku kyuujuu san
nihyaku yonjuu go, yonsen happyaku shichijuu hitotsu
sanzen hyaku kyuujuu hachi, sanzen rokujuu hitotsu
ni sen nanahyaku rokujuu roku, sen gohyaku shichi
yonsen gohyaku sanjuu, ni sen nihyaku hachijuu san
hyaku kyuujuu san, sen yonhyaku hitotsu
ni sen roppyaku hachijuu hitotsu, yonsen hyaku yonjuu san
yonsen gohyaku hatachi, yonsen hitotsu
ni sen juuhachi, yonsen shichijuu kyuu
sen sanbyaku rokujuu roku, ni sen kyuuhyaku hatachi go
ni sen nihyaku sanjuu ni, yonsen nanahyaku hachijuu hachi
hyaku shichijuu kyuu, kyuuhyaku kyuujuu go
ni sen nanahyaku sanjuu ni, yonsen gohyaku yonjuu ni
yonsen nanahyaku shichijuu shichi, sanzen nanahyaku roku
sanzen shichijuu roku, sanzen nanahyaku sanjuu hachi
yonsen hyaku rokujuu go, yonsen nanahyaku yonjuu yon
sen yonhyaku gojuu, yonsen hyaku hatachi
yonsen yonhyaku hachijuu yon, sanzen roppyaku hachijuu ni
sen hachijuu hachi, yonsen happyaku ni
sen kyuujuu shichi, sanbyaku hachijuu hitotsu
sen nanahyaku juushichi, sanzen gojuu go
ni sen yonjuu ni, ni sen shichijuu
sen happyaku sanjuu yon, sanzen happyaku kyuujuu kyuu
ni sen roppyaku kyuujuu hitotsu, sanzen nanahyaku hatachi san
sen nanahyaku gojuu go, hachijuu go
ni sen sanbyaku juusan, ni sen nanahyaku juuni
ni sen nihyaku yonjuu roku, ni sen happyaku hatachi hachi
ni sen yonjuu hitotsu, nihyaku sanjuu
sanzen hyaku ni, sen nihyaku shichijuu yon
sen nihyaku gojuu roku, yonsen happyaku hachijuu
sen yonhyaku sanjuu hachi, yonsen nihyaku gojuu san
yonjuu yon, happyaku yon
nihyaku rokujuu kyuu, sanzen roppyaku shichijuu hachi
ni sen sanbyaku shichijuu, yonsen gohyaku kyuu
yonjuu kyuu, sen kyuuhyaku sanjuu san
nihyaku hatachi go, ni sen shichijuu ni
yonsen kyuujuu shichi, ni sen yonhyaku shichijuu hitotsu
yonsen roppyaku gojuu roku, yonsen nanahyaku yonjuu hitotsu
sen roppyaku hachijuu, yonsen sanbyaku shichijuu kyuu
ni sen sanbyaku hachijuu ni, sen roppyaku hatachi san
sen kyuuhyaku gojuu shichi, ni sen sanjuu go
yonsen roppyaku sanjuu hitotsu, sen yonhyaku hatachi roku
sanzen gohyaku kyuujuu hachi, ni sen sanbyaku yon
yonsen nihyaku hatachi shichi, sanzen kyuuhyaku rokujuu hachi
sen kyuuhyaku hachijuu hitotsu, sen hyaku yonjuu kyuu
nanahyaku gojuu san, ni sen gohyaku kyuujuu hitotsu
yonsen kyuuhyaku hatachi san, ni sen happyaku hitotsu
sanzen gohyaku kyuujuu yon, yonsen hyakuhachi juushichi
ni sen sanbyaku gojuu san, yonsen roppyaku sanjuu roku
yonsen gohyaku rokujuu yon, hyaku sanjuu roku
yonsen nanahyaku juusan, ni sen happyaku hachijuu ni
sanzen nihyaku rokujuu go, ni sen nihyaku shichijuu
sen gohyaku juugo, sanzen hyaku rokujuu roku
sen gojuu ni, sanzen yonhyaku kyuujuu shichi
ni sen gohyaku yonjuu shichi, sanzen roppyaku kyuujuu roku
yonsen nihyaku juuhachi, sanzen nanahyaku shichijuu yon
happyaku yonjuu hitotsu, sanzen yonhyaku hachijuu san
sen happyaku sanjuu shichi, sanzen sanbyaku yon
sen kyuuhyaku hachijuu yon, sanzen kyuuhyaku kyuujuu ni
sanbyaku kyuujuu roku, ni sen nanahyaku rokujuu hitotsu
yonsen happyaku kyuujuu ni, yonsen hyaku kyuujuu san
happyaku kyuujuu go, sanzen juusan
sen hyaku gojuu roku, sen gohyaku kyuujuu shichi
yonsen nihyaku juu, ni sen happyaku juu
ni sen happyaku sanjuu san, kyuuhyaku gojuu san
ni sen nihyaku gojuu, yonsen sanbyaku sanjuu ni
ni sen roppyaku sanjuu ni, yonsen gojuu shichi
sanbyaku gojuu shichi, gohyaku hachijuu shichi
ni sen hatachi shichi, sanzen yonhyaku kyuujuu
sen kyuuhyaku rokujuu san, kyuuhyaku shichijuu roku
ni sen happyaku yonjuu roku, sen sanbyaku rokujuu ni
ni sen kyuuhyaku rokujuu ni, sen kyuuhyaku sanjuu
ni sen gohyaku juuroku, yonsen gohyaku hachijuu shichi
sanbyaku juu, yonsen sanbyaku kyuujuu
yonjuu kyuu, sen hyaku hitotsu
ni sen nihyaku yonjuu roku, sanzen nihyaku yonjuu ni
yonsen nihyaku kyuujuu go, yonsen sanbyaku rokujuu kyuu
sanzen sanjuu san, ni sen nanahyaku rokujuu yon
yonsen nihyaku hatachi roku, juuhachi
sanzen happyaku yonjuu hachi, sanzen sanjuu shichi
